,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송서비스,금융 및 보험서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계
농림수산품,"485,806",4,"10,269,411","225,767","384,167",0,"770,896",0,0,0,0,0,0,129,"2,201","6,172",0,0,"39,533","2,585",0,"785,607",0,0,0,"4,107",30,"18,414","3,448","104,448","1,472",0,0,"13,104,197","3,891,020",0,"78,554",25,"-124,101",0,0,"3,845,498","16,949,695"
광산품,0,0,"6,933","1,045","23,183","107,955,161","8,306,004","1,258,710","33,003,679","5,139","2,774","2,583","3,102","3,589","1,221","58,668","68,465,917",0,"29,841",0,0,"2,345",0,0,0,"11,233",0,16,0,0,0,0,0,"219,141,143","15,221",0,0,0,"-1,024,984",0,0,"-1,009,763","218,131,380"
음식료품,"217,039",0,"14,132,546","1,181,363","19,998","39,673","600,263",0,0,1,152,0,1,0,154,"10,470","547,967",0,0,"25,522","4,403","9,587,420","2,438",18,73,"96,884","15,200","3,950",359,"646,579","152,751",61,0,"27,285,285","19,637,184",0,0,0,"-34,940",0,"34,138","19,636,382","46,921,667"
섬유 및 가죽제품,"174,347",0,"21,486","12,494,660","141,424",234,"603,928","17,137","2,780","18,756","131,172","59,861","28,893","260,543","292,775","214,560","2,345","28,025","105,174","538,598","151,228","31,842","3,202","6,638","1,880","74,362","58,739","43,343","1,459","80,577","17,470","27,532",0,"15,634,970","22,332,792",0,"39,967","14,749","144,419",0,"545,520","23,077,447","38,712,417"
"목재 및 종이, 인쇄","7,878",0,"191,272","196,964","4,958,971",786,"142,603","38,763","8,972","78,078","149,249","87,550","21,052","22,523","492,175","14,371","366,563",823,"1,062,856","93,547","97,844","144,017","96,807","7,682","1,155","43,992","17,521","67,204","10,420","13,359","39,894","3,034",0,"8,477,925","677,764",0,0,0,"34,626",0,0,"712,390","9,190,315"
석탄 및 석유제품,"37,757","1,602","42,567","68,674","67,937","3,678,754","25,346,933","151,699","213,878","78,341","31,162","45,968","30,864","64,171","2,031","308,039","1,641,796","12,310","20,644","666,955","8,671,116","527,023","10,762","6,497","5,743","187,182","24,291","21,693","414,541","73,957","11,857","181,330",0,"42,648,074","2,351,959",0,0,0,"122,942",0,0,"2,474,901","45,122,975"
화학제품,"823,131","1,746","468,348","1,384,234","290,277","702,283","53,919,657","791,765","1,457,010","1,146,298","10,310,680","7,787,804","517,828","2,199,954","470,344","195,467","32,359","213,275","370,668","313,587","199,697","122,969","47,614","1,970",237,"932,094","158,761","9,449","24,208","9,505,479","27,678","465,733",82,"94,892,686","9,275,297",0,0,0,"786,835",0,"1,521,940","11,584,072","106,476,758"
비금속광물제품,268,9,"38,333","11,626","1,622","25,759","586,505","1,596,074","437,502","103,158","723,481","913,729","156,003","575,874","64,422","69,580","10,357","1,262","2,035,888","11,889","1,409","80,193",12,164,60,"118,951",55,494,956,"5,107",18,"21,458",0,"7,592,218","250,632",0,0,0,"28,484",0,0,"279,116","7,871,334"
1차 금속제품,408,7,0,"4,713",423,"14,064","1,955,775","22,979","28,789,189","4,180,771","2,708,037","4,376,195","1,504,504","6,067,366","261,104","82,173","35,069","8,142","2,165,701",11,"117,848",0,0,0,2,"56,161",216,20,0,"192,309",0,309,0,"52,543,496","10,179",0,0,0,"-197,121","33,102",0,"-153,840","52,389,656"
금속가공제품,"1,615","5,465","153,937","131,663","14,605","27,749","347,215","80,661","92,724","2,667,595","701,714","298,453","784,745","1,813,669","163,305","157,203","70,256","1,812","615,883","81,840","346,465","220,397","3,027","5,250","2,117","140,927","12,213","159,772","8,294","2,317","2,422","25,019",0,"9,140,329","952,367",0,"222,504","779,287","24,398",0,0,"1,978,556","11,118,885"
