,농림수산품,광산품,음식료품,섬유 및 가죽제품,"목재 및 종이, 인쇄",석탄 및 석유제품,화학제품,비금속광물제품,1차 금속제품,금속가공제품,"컴퓨터, 전자 및 광학기기",전기장비,기계 및 장비,운송장비,기타 제조업제품,제조임가공 및 산업용 장비 수리,"전력, 가스 및 증기","수도, 폐기물처리 및 재활용서비스",건설,도소매 및 상품중개서비스,운송서비스,음식점 및 숙박서비스,정보통신 및 방송서비스,금융 및 보험서비스,부동산서비스,"전문, 과학 및 기술 서비스",사업지원서비스,"공공행정, 국방 및 사회보장",교육서비스,보건 및 사회복지서비스,"예술, 스포츠 및 여가 관련 서비스",기타 서비스,기타,중간수요계,"민간소비지출
(가계 및 가계봉사
비영리단체)",정부소비지출,"민간고정
자본형성","정부고정
자본형성",재고증감,"귀중품
순취득",수출,최종수요계,총수요계,총산출,수입,생산물세(수입),수입계,도소매마진,화물운임,총공급계
농림수산품,"4,256,311","3,473","44,787,107","264,444","661,849","4,203","1,326,559","3,614","6,461","7,383","7,338","2,082","6,967","2,432","14,838","542,287","3,751","12,739","403,188","103,863","13,100","13,418,941","14,422","11,833","7,087","72,958","20,574","333,297","716,622","904,970","72,052","72,609","3,405","68,082,759","20,977,330",0,"1,005,548",708,"-196,797",0,"1,148,216","22,935,005","91,017,764","74,068,069","16,390,900","558,795","16,949,695",0,0,"91,017,764"
광산품,"2,055","2,999","48,702","3,592","35,023","108,067,377","8,679,207","5,208,178","33,232,955","40,482","37,583","8,789","16,354","5,802","3,785","76,904","68,593,275","53,587","278,992",0,0,"15,310",0,0,141,"17,244","13,414","16,766","1,073","16,722","2,420","2,421",34,"224,481,186","20,312",0,0,0,"-1,208,060",0,"164,539","-1,023,209","223,457,977","5,326,597","213,114,501","5,016,879","218,131,380",0,0,"223,457,977"
음식료품,"13,490,896","16,188","37,267,582","1,267,831","87,762","29,747","1,948,954","32,354","78,230","106,035","28,458","23,722","80,841","-15,144","10,976","642,150","1,667,262","75,594","29,879","2,137,267","237,559","62,634,265","321,736","166,231","20,690","1,680,284","730,059","1,178,818","3,190,985","3,326,884","2,766,615","1,099,495","54,767","136,414,972","79,996,863",0,0,0,"-312,055",0,"13,216,832","92,901,640","229,316,612","182,394,945","42,877,588","4,044,079","46,921,667",0,0,"229,316,612"
섬유 및 가죽제품,"690,669","18,761","152,583","21,941,986","610,886","100,196","1,674,120","167,311","181,532","398,657","396,591","175,855","148,702","1,234,584","1,704,538","2,681,541","46,471","260,471","183,767","1,793,848","1,945,331","1,580,633","250,655","107,312","175,614","554,339","1,178,436","689,348","212,655","919,104","556,457","863,694","17,447","43,614,094","44,692,848",0,"99,316","49,995","238,347",0,"20,177,963","65,258,469","108,872,563","70,160,146","35,870,234","2,842,183","38,712,417",0,0,"108,872,563"
"목재 및 종이, 인쇄","866,017","11,121","3,715,108","415,547","17,244,503","134,210","1,997,375","426,375","243,459","1,061,021","295,987","571,350","353,312","120,280","1,901,882","408,384","792,752","-6,870","6,049,727","4,278,205","1,476,571","2,137,353","2,006,707","1,592,341","227,894","5,069,685","631,911","913,133","960,333","1,291,250","308,585","831,503","9,881","58,336,892","1,990,283",0,0,0,"247,498",0,"4,630,328","6,868,109","65,205,001","56,014,686","8,967,588","222,727","9,190,315",0,0,"65,205,001"
석탄 및 석유제품,"1,553,720","127,562","368,746","182,073","306,192","8,485,744","43,895,247","2,409,467","721,361","527,953","108,255","512,348","337,756","472,866","45,874","1,013,019","4,111,860","690,962","4,687,554","9,503,880","24,628,899","3,477,744","404,311","146,259","918,026","4,380,042","918,546","3,355,174","2,599,025","1,564,184","353,775","1,093,548","22,523","123,924,495","20,010,215",0,0,0,"685,143",0,"77,066,088","97,761,446","221,685,941","176,562,966","44,170,694","952,281","45,122,975",0,0,"221,685,941"
화학제품,"5,335,756","219,298","4,720,446","6,819,729","3,803,170","3,537,795","129,362,837","2,543,485","3,102,895","9,009,090","20,188,581","17,404,850","5,570,490","21,793,941","2,998,181","1,983,061","2,417,171","2,164,833","12,222,208","5,288,979","1,560,674","4,858,345","812,354","121,602","277,568","10,278,206","3,992,188","1,614,775","1,270,286","32,946,431","758,170","3,728,706","31,956","322,738,057","16,391,860",0,0,0,"2,035,871",0,"141,937,188","160,364,919","483,102,976","376,626,218","104,125,789","2,350,969","106,476,758",0,0,"483,102,976"
비금속광물제품,"36,617","8,918","905,256","41,584","59,557","153,911","1,621,305","7,622,593","3,265,699","612,991","1,987,167","1,806,637","511,290","2,300,485","257,029","203,556","-152,005","187,593","29,763,706","119,481","76,745","742,147","13,661","3,896","84,202","340,999","226,159","331,107","142,765","71,373","141,732","56,146","4,568","53,548,870","181,273",0,0,0,"187,387",0,"4,781,328","5,149,988","58,698,858","50,827,524","7,600,425","270,909","7,871,334",0,0,"58,698,858"
1차 금속제품,"91,111","8,196","26,239","2,697","45,720","562,107","3,388,712","903,550","62,564,642","26,175,296","6,708,120","18,310,513","13,493,061","26,369,922","1,765,850","1,069,388","413,958","170,727","25,701,309",-713,"132,195","27,276","-21,236",-69,-534,"435,186","1,189","3,109","-19,677","366,089","-4,842","-29,801","9,136","188,668,426","-731,720",0,"-3,134,918","-83,309","118,320","163,833","59,288,136","55,620,342","244,288,768","191,899,112","52,115,731","273,925","52,389,656",0,0,"244,288,768"
금속가공제품,"77,940","117,861","2,371,080","248,175","609,407","2,900,135","2,673,621","667,203","1,573,739","20,929,812","2,705,363","5,224,767","19,768,968","18,833,190","1,490,999","1,288,202","869,133","548,021","25,476,298","1,147,254","1,077,767","1,741,987","251,710","141,513","200,822","1,247,365","1,101,443","1,742,143","474,147","355,816","255,624","953,188","15,794","119,080,487","1,887,217",0,"6,527,800","2,370,938","174,696",0,"17,376,557","28,337,208","147,417,695","136,298,810","10,772,512","346,373","11,118,885",0,0,"147,417,695"
